field_0,dust,type,project,description,installs,links
4026,189,RFA,sortedcontainers,"sorted container types: SortedList, SortedDict, and Sort[..]",692,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=888218
4027,733,RFP,sortjar,remove nondeterministic aspects of jar files,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=759822
4028,823,O,sortmail,simple mail sorter,12,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=790732
4029,298,RFP,souffle,a translator of declarative Datalog programs into the C+[..],1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=831628
4030,160,RFP,spacemacs,Emacs configuration to get best of Emacs and Vim,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=828154
4031,717,RFP,spacy,industrial-strength natural language processing for Python,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=835854
4032,35,RFP,spacy/2.0.10,Industrial-strength Natural Language Processing (NLP) wi[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=894629
4033,2251,RFH,spamassassin,Perl-based spam filter using text analysis,9751,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=676317
4034,2251,RFH,spamassassin,seeking co-maintainers,9751,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=676314
4035,1943,O,spamprobe,Bayesian spam filter,515,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=705824
4036,838,RFA,spark,SPARK programming language toolset,116,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=803195
4037,1175,RFP,spark-hilite,SPARK programming language toolset (Ada 2012-style),0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=713928
4038,55,RFH,sparkleshare,distributed collaboration and sharing tool,125,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=901994
4039,1429,O,sparkline-php,sparkline graphing library for php,11,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=761832
4040,280,RFP,spectrum2,XMPP transport/gateway,12,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=711762
4041,226,RFP,spectrum2,XMPP transport/gateway,12,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=672699
